"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","Population_name","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"ICSRsthdSurvey","Survey","CAX05262020","Oregon Department of Fish and Wildlife",306,"Steelhead (Snake River Basin DPS)","Grande Ronde","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",1.3,"Steelhead",NA,"Grande Ronde River Upper Mainstem and Tributaries",1974,723,1
"ICSRsthdSurvey","Survey","CAX05262020","Oregon Department of Fish and Wildlife",306,"Steelhead (Snake River Basin DPS)","Grande Ronde","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",1.3,"Steelhead",NA,"Grande Ronde River Upper Mainstem and Tributaries",1975,768,1
"ICSRsthdSurvey","Survey","CAX05262020","Oregon Department of Fish and Wildlife",306,"Steelhead (Snake River Basin DPS)","Grande Ronde","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",1.3,"Steelhead",NA,"Grande Ronde River Upper Mainstem and Tributaries",1976,316,1
"ICSRsthdSurvey","Survey","CAX05262020","Oregon Department of Fish and Wildlife",306,"Steelhead (Snake River Basin DPS)","Grande Ronde","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",1.3,"Steelhead",NA,"Grande Ronde River Upper Mainstem and Tributaries",1977,1762,1
"ICSRsthdSurvey","Survey","CAX05262020","Oregon Department of Fish and Wildlife",306,"Steelhead (Snake River Basin DPS)","Grande Ronde","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",1.3,"Steelhead",NA,"Grande Ronde River Upper Mainstem and Tributaries",1978,1581,1
"ICSRsthdSurvey","Survey","CAX05262020","Oregon Department of Fish and Wildlife",306,"Steelhead (Snake River Basin DPS)","Grande Ronde","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",1.3,"Steelhead",NA,"Grande Ronde River Upper Mainstem and Tributaries",1979,90,1
"ICSRsthdSurvey","Survey","CAX05262020","Oregon Department of Fish and Wildlife",306,"Steelhead (Snake River Basin DPS)","Grande Ronde","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",1.3,"Steelhead",NA,"Grande Ronde River Upper Mainstem and Tributaries",1980,3072,1
"ICSRsthdSurvey","Survey","CAX05262020","Oregon Department of Fish and Wildlife",306,"Steelhead (Snake River Basin DPS)","Grande Ronde","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",1.3,"Steelhead",NA,"Grande Ronde River Upper Mainstem and Tributaries",1981,542,1
"ICSRsthdSurvey","Survey","CAX05262020","Oregon Department of Fish and Wildlife",306,"Steelhead (Snake River Basin DPS)","Grande Ronde","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",1.3,"Steelhead",NA,"Grande Ronde River Upper Mainstem and Tributaries",1982,858,1
"ICSRsthdSurvey","Survey","CAX05262020","Oregon Department of Fish and Wildlife",306,"Steelhead (Snake River Basin DPS)","Grande Ronde","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",1.3,"Steelhead",NA,"Grande Ronde River Upper Mainstem and Tributaries",1983,1672,1
"ICSRsthdSurvey","Survey","CAX05262020","Oregon Department of Fish and Wildlife",306,"Steelhead (Snake River Basin DPS)","Grande Ronde","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",1.3,"Steelhead",NA,"Grande Ronde River Upper Mainstem and Tributaries",1984,633,1
"ICSRsthdSurvey","Survey","CAX05262020","Oregon Department of Fish and Wildlife",306,"Steelhead (Snake River Basin DPS)","Grande Ronde","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",1.3,"Steelhead",NA,"Grande Ronde River Upper Mainstem and Tributaries",1985,6461,1
