NMFS_POPID,ESU,Species,MAJOR_POPULATION_GROUP,DISPLAY_ORDER,POP_NAME_LONG,COMMON_POPULATION_NAME,RUN_TIMING,START_YEAR,END_YEAR,YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,Age1,Age2,Age3,Age4,Age5,Sum of age,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,AGE_NOTES,TOTAL_SPAWNERS_WITH_JACKS,NATURAL_SPAWNERS_WITH_JACKS,TOTAL_SPAWNERS_EXC_JACKS,NATURAL_ADULT_ANNUAL_RUN_4_6,JACK_FRAC_OF_HATCHERY_SPAWNERS,ADULT_NATURAL_HARVEST_RATE,NAT_NO_ORIGIN_BROOD_STOCK,ADULT_BROOD_RETURNS,SAR_ADJUSTED_ADULT_BRD_RETURNS,HATCHERY_RETURN,HATCHERY_RETURN_NOR,Date Uploaded,Data Submitted by
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1987,2412.489535,0.439079323,3329.424981,0,0.113385755,0.385499214,0.441495362,0.059619669,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1988,2694.147674,0.810202551,9961.143149,0,0.004645834,0.423256543,0.546760551,0.025337071,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1989,1417.595822,0.47923588,11072.18116,0,0.022766029,0.029678641,0.926609265,0.020946066,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1990,682.9889883,0.439079323,3168.012234,0,0.017016791,0.561733198,0.135816711,0.285433301,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1991,1892.279669,0.439079323,3802.61008,0,0.034126633,0.243365991,0.707756449,0.014750927,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1992,931.5252735,0.439079323,3113.986536,0,0.027107945,0.176931038,0.760938372,0.035022645,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1993,1095.529412,0.736458333,22758.42395,0,0.006600135,0.020063518,0.078582231,0.894754116,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1994,730.5166503,0.547945205,609.4454878,0,0.05685564,0.585968466,0.319830952,0.037344942,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1995,1488.726692,0.439079323,1191.652742,0,0.034495856,0.267439157,0.68200635,0.016058638,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1996,1036.749041,0.439079323,1103.97307,0,0.020151811,0.165561173,0.425566846,0.388720171,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1997,547.5113971,0.439079323,177.9673164,0,0.133285868,0.198808807,0.614241358,0.053663966,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1998,1935.510943,0.457943925,153.7298813,0,0.366253065,0.45917636,0.148358073,0.026212501,1,,,,,,,,,,,,,,,,,,,,,,,
